m_thr,clv,exit,side,trades,days,net_mean_%,daily_mean_%,t_daily,pf,win_rate,total_R
-0.005,False,n_px_1015,short,1121,242,0.0638,0.0878,1.4779,1.1295,0.5227,71.4949
-0.005,False,n_close,short,1121,242,0.107,0.1314,1.3441,1.147,0.5299,119.9818
-0.005,True,n_px_1015,short,931,228,0.0323,0.054,0.8297,1.0664,0.5081,30.0611
-0.005,True,n_close,short,931,228,0.0562,0.0826,0.8015,1.0764,0.5048,52.3137
-0.0075,False,n_px_1015,short,909,228,0.0478,0.0521,0.768,1.0916,0.5237,43.4583
-0.0075,False,n_close,short,909,228,0.1139,0.1504,1.4244,1.1538,0.527,103.5759
-0.0075,True,n_px_1015,short,713,206,0.0389,0.0156,0.1988,1.0754,0.5189,27.7109
-0.0075,True,n_close,short,713,206,0.0847,0.0912,0.7451,1.113,0.5147,60.3803
-0.01,False,n_px_1015,short,643,197,0.0691,0.1021,1.2164,1.1276,0.5397,44.4269
-0.01,False,n_close,short,643,197,0.1205,0.2174,1.7058,1.1603,0.5412,77.4869
-0.01,True,n_px_1015,short,490,171,0.0787,0.0848,0.8346,1.1501,0.5429,38.5629
-0.01,True,n_close,short,490,171,0.0815,0.1567,1.0224,1.1055,0.5306,39.9506
-0.0075,True,n_px_1015,long,843,210,-0.1926,-0.2005,-3.0583,0.7034,0.4282,-162.3855
-0.0075,True,n_close,long,843,210,-0.2437,-0.2567,-2.4549,0.74,0.4294,-205.4455
