"Name","Product","Qty","Buy Avg Price","Sell Avg Price","LTP","P&L"
"Canara Bank","Intraday","12.00","129.75","129.81","130.15","0.72"
"Vedanta","Intraday","5.00","281.95","280.20","282.65","-8.75"
"Torrent Power","Intraday","1.00","1,444.80","1,456.80","1,442.90","12.00"
"Marico","Intraday","1.00","814.10","814.20","819.00","0.10"
"Coal India","Intraday","1.00","443.50","443.50","441.55","0.00"
"Hero Motocorp","Intraday","1.00","4,922.00","4,904.80","4,898.90","-17.20"
"Siemens","Intraday","1.00","3,593.10","3,595.60","3,555.90","2.50"
"Cummins","Intraday","1.00","5,621.50","5,623.00","5,551.00","1.50"
"Nestle","Intraday","1.00","1,383.30","1,384.50","1,383.00","1.20"
